Name	description - not loaded	Id	Token
Dummy	test data	0	NU0
Casket	Casket #5	1	C5
Shrine	Shrine	2	SF
Casket	Casket #6	3	C6
LargeUrn	Urn #1	4	U1
chest	LargeChestR	5	L1
chest	LargeChestL	6	L2
Barrel	Barrel	7	B1
TowerTome	Tower Tome	8	TT
Urn	Urn #2	9	U2
Dummy	Bench	10	BE
Barrel	BarrelExploding	11	BX
Dummy	RogueFountain	12	FN
Door	Door Gate Left	13	D1
Door	Door Gate Right	14	D2
Door	Door Wooden Left	15	D3
Door	Door Wooden Right	16	D4
StoneAlpha	StoneAlpha	17	S1
StoneBeta	StoneBeta	18	S2
StoneGamma	StoneGamma	19	S3
StoneDelta	StoneDelta	20	S4
StoneLambda	StoneLambda	21	S5
StoneTheta	StoneTheta	22	S6
Door	Door Courtyard Left	23	D5
Door	Door Courtyard Right	24	D6
Door	Door Cathedral Double	25	D7
Gibbet	Cain's Been Captured	26	GI
Door	Door Monastery Double Right	27	D8
HoleAnim	Hole in Ground	28	HI
Dummy	Brazier	29	BR
Inifuss	inifuss tree	30	IT
Dummy	Fountain	31	BF
Dummy	crucifix	32	CL
Dummy	Candles1	33	A1
Dummy	Candles2	34	A2
Dummy	Standard1	35	N1
Dummy	Standard2	36	N2
Dummy	Torch1 Tiki	37	TO
Dummy	Torch2 Wall	38	WT
fire	RogueBonfire	39	RB
Dummy	River1	40	R1
Dummy	River2	41	R2
Dummy	River3	42	R3
Dummy	River4	43	R4
Dummy	River5	44	R5
AmbientSound	ambient sound generator	45	S1
Crate	Crate	46	CT
Door	Andariel's Door	47	AD
Dummy	RogueTorch	48	T1
Dummy	RogueTorch	49	T2
Casket	CasketR	50	C1
Casket	CasketL	51	C2
Urn	Urn #3	52	U3
Casket	Casket	53	C4
RogueCorpse	Rogue corpse 1	54	Z1
RogueCorpse	Rogue corpse 2	55	Z2
RogueCorpse	rolling rogue corpse	56	Z5
CorpseOnStick	rogue on a stick 1	57	Z3
CorpseOnStick	rogue on a stick 2	58	Z4
Portal	Town portal	59	TP
Portal	Permanent town portal	60	PP
Dummy	Invisible object	61	SS
Door	Door Cathedral Left	62	D9
Door	Door Cathedral Right	63	DA
Door	Door Wooden Left #2	64	DB
Dummy	invisible river sound1	65	X1
